scrape_datetime,scientific_name,common_name,size_cm,price_gbp,wishlist_count,page_url
2025-12-18,Aphonopelma seemanni,Costa Rican Zebra,1.5,8.99,3,https://www.thespidershop.co.uk/spiderlings/aphonopelma-seemanni
2025-12-18,Brachypelma hamorii,Mexican Red Knee,2.0,30.00,8,https://www.thespidershop.co.uk/spiderlings/brachypelma-hamorii
2025-12-18,Grammostola pulchra,Brazilian Black,3.5,35.00,12,https://www.thespidershop.co.uk/spiderlings/grammostola-pulchra
2025-12-18,Lasiodora parahybana,Salmon Pink Birdeater,4.0,20.00,3,https://www.thespidershop.co.uk/spiderlings/lasiodora-parahybana
2025-12-18,Pterinochilus murinus,Orange Baboon Tarantula,1.0,15.00,10,https://www.thespidershop.co.uk/spiderlings/pterinochilus-murinus
2025-12-25,Aphonopelma seemanni,Costa Rican Zebra,1.5,15.00,4,https://www.thespidershop.co.uk/spiderlings/aphonopelma-seemanni
2025-12-25,Brachypelma hamorii,Mexican Red Knee,2.0,30.00,8,https://www.thespidershop.co.uk/spiderlings/brachypelma-hamorii
2025-12-25,Grammostola pulchra,Brazilian Black,3.5,35.00,12,https://www.thespidershop.co.uk/spiderlings/grammostola-pulchra
2025-12-25,Lasiodora parahybana,Salmon Pink Birdeater,4.0,20.00,3,https://www.thespidershop.co.uk/spiderlings/lasiodora-parahybana
2025-12-25,Pterinochilus murinus,Orange Baboon Tarantula,1.0,15.00,10,https://www.thespidershop.co.uk/spiderlings/pterinochilus-murinus
2026-01-01,Aphonopelma seemanni,Costa Rican Zebra,1.5,25.00,5,https://www.thespidershop.co.uk/spiderlings/aphonopelma-seemanni
2026-01-01,Brachypelma hamorii,Mexican Red Knee,2.0,30.00,8,https://www.thespidershop.co.uk/spiderlings/brachypelma-hamorii
2026-01-01,Grammostola pulchra,Brazilian Black,3.5,35.00,12,https://www.thespidershop.co.uk/spiderlings/grammostola-pulchra
2026-01-01,Lasiodora parahybana,Salmon Pink Birdeater,4.0,20.00,3,https://www.thespidershop.co.uk/spiderlings/lasiodora-parahybana
2026-01-01,Pterinochilus murinus,Orange Baboon Tarantula,1.0,15.00,10,https://www.thespidershop.co.uk/spiderlings/pterinochilus-murinus
2026-01-01,Psalmopoeus irminia,Venezuelan Suntiger,1.2,18.00,5,https://www.thespidershop.co.uk/spiderlings/psalmopoeus-irminia
2026-01-08,Aphonopelma seemanni,Costa Rican Zebra,1.5,25.00,5,https://www.thespidershop.co.uk/spiderlings/aphonopelma-seemanni
2026-01-08,Brachypelma hamorii,Mexican Red Knee,2.0,30.00,8,https://www.thespidershop.co.uk/spiderlings/brachypelma-hamorii
2026-01-08,Grammostola pulchra,Brazilian Black,3.5,35.00,12,https://www.thespidershop.co.uk/spiderlings/grammostola-pulchra
2026-01-08,Lasiodora parahybana,Salmon Pink Birdeater,4.0,20.00,3,https://www.thespidershop.co.uk/spiderlings/lasiodora-parahybana
2026-01-08,Pterinochilus murinus,Orange Baboon Tarantula,1.0,15.00,10,https://www.thespidershop.co.uk/spiderlings/pterinochilus-murinus
2026-01-08,Psalmopoeus irminia,Venezuelan Suntiger,1.2,18.00,6,https://www.thespidershop.co.uk/spiderlings/psalmopoeus-irminia
